14	20170418144003		Mozilla5.0X11UbuntuLinuxx86_64rv	s
13	20170418144001		Mozilla5.0X11UbuntuLinuxx86_64rv	ot
12	20170418143448		Mozilla5.0X11UbuntuLinuxx86_64rv	ol
11	20170418143438		Mozilla5.0X11UbuntuLinuxx86_64rv	yop
10	20170418140606		Mozilla5.0X11UbuntuLinuxx86_64rv	prout
9	20170418140542		Mozilla5.0X11UbuntuLinuxx86_64rv	taiste
8	20170414131127		curl7.47.0	plop
7	20170414131120		curl7.47.0	plop
6	20170414131113		curl7.47.0	plop
5	20170414131053		curl7.47.0	plop
4	20170414131040		curl7.47.0	plop
3	20170414131038		curl7.47.0	plop
2	20170414131036		curl7.47.0	plop
1	20170414131033		curl7.47.0	plop
